Metricas de clasificación para estado,accuracy,recall,precision,f1 score,balanced accuracy,log loss,average precision,roc auc,matthews corrcoef
0,0.9363636363636364,0.9363636363636364,0.9400948669144082,0.9362846895888001,0.9371693121693122,1.4146533128371614,0.9565101530845899,0.9692460317460317,0.876515223734378
1,0.8909090909090909,0.8909090909090909,0.9045578063241106,0.8901839934741231,0.8925264550264551,3.631421177063234,0.9570618593957874,0.9632936507936508,0.7956478954460449
2,0.8909090909090909,0.8909090909090909,0.9045578063241106,0.8901839934741231,0.8925264550264551,3.6213036539612764,0.9445481367652478,0.9510582010582012,0.7956478954460449
3,0.8990825688073395,0.8990825688073395,0.916427752293578,0.8983310469367333,0.9017857142857143,2.685187831433786,0.9101838906381612,0.933288409703504,0.8157558392593426
4,0.9090909090909091,0.9090909090909091,0.9181329423264908,0.90872920183265,0.9103835978835979,1.449904942120768,0.9334187325498714,0.9520502645502646,0.8273598092708518
5,0.8727272727272727,0.8727272727272727,0.8989304812834223,0.8709388971684053,0.875,2.0993962151550725,0.8867634434756717,0.9424603174603174,0.7717436331412898
6,0.8623853211009175,0.8623853211009175,0.8927415002698328,0.8602748463457129,0.8660714285714286,3.9954582385065422,0.8885327012536419,0.9383423180592992,0.7554076755650031
7,0.9363636363636364,0.9363636363636364,0.9436661698956781,0.9361791831357049,0.9375,0.732875484496312,0.946760292336508,0.9699074074074074,0.8801080410577024
8,0.8807339449541285,0.8807339449541285,0.904225743675285,0.8794178777988817,0.8839285714285714,3.3306999658945413,0.8544004673553361,0.9309299191374663,0.7852468109534442
9,0.9174311926605505,0.9174311926605505,0.9294169872743415,0.9170547709132875,0.9196428571428572,0.17114518457873892,0.9592431785917395,0.9807951482479785,0.8470265149631924
