Metricas para cada modelo,time lapsed,loss
0,136355580300,0.050304959517801465
1,71395862600,0.053104304814876935
2,142590715900,0.056478773916590744
3,70355133800,0.05915287029991379
4,95692798000,0.06889576644427
5,123535792900,0.07228816808380563
6,117961753300,0.07275811927066618
7,52972187400,0.09030018104574057
8,52427542800,0.09944518920394867
9,132934660600,0.10303049971148008
10,58892439600,0.10426246786328316
11,71431392800,0.11417825874027202
12,69601564900,0.12078237357194395
13,92537610800,0.12739329798452606
14,60536629700,0.13188543990164903
15,83452603100,0.1327166881845654
16,56733300200,0.14787878272322377
17,54534003500,0.14988051920713072
18,56606015100,0.1672006732254249
19,49958250400,0.1718971042316509
20,50717142000,0.20830027799794718
21,49260981700,0.2540881454117619
22,55007347900,0.2570870262509079
23,70649002600,0.267050972340404
24,71759404500,0.5054544753928369
